features,model,strategy,n_dim,train_trees,test_trees,macro,joint,mae,acc_B1,acc_B2,acc_B3,acc_B4,mae_B1,mae_B2,mae_B3,mae_B4,bias_B1,bias_B2,bias_B3,bias_B4
F0+distrib,LR,train_val,33,812,141,0.7588652482269503,0.3262411347517731,1.051418439716312,0.9574468085106383,0.8085106382978723,0.5531914893617021,0.7163120567375887,0.375886524822695,1.0638297872340425,1.5886524822695036,1.177304964539007,0.03546099290780142,-0.0851063829787234,-0.15602836879432624,0.05673758865248227
F0+distrib,SVM,train_val,33,812,141,0.7411347517730497,0.2978723404255319,1.0620567375886525,0.950354609929078,0.7659574468085106,0.5602836879432624,0.6879432624113475,0.425531914893617,1.0141843971631206,1.5957446808510638,1.2127659574468086,0.0,-0.5319148936170213,-0.3900709219858156,-0.2624113475177305
F0+distrib,RF,train_val,33,812,141,0.7251773049645389,0.2553191489361702,1.0939716312056738,0.9645390070921985,0.7659574468085106,0.5460992907801419,0.624113475177305,0.3900709219858156,1.0780141843971631,1.5886524822695036,1.3191489361702127,0.02127659574468085,-0.15602836879432624,-0.22695035460992907,0.11347517730496454
F0+distrib,Ridge,train_val,33,812,141,0.75177304964539,0.2765957446808511,1.047872340425532,0.9645390070921985,0.7943262411347518,0.524822695035461,0.723404255319149,0.3546099290780142,1.0567375886524824,1.5957446808510638,1.1843971631205674,0.014184397163120567,-0.06382978723404255,-0.1347517730496454,0.02127659574468085
F0+distrib,ElasticNet,train_val,33,812,141,0.7464539007092199,0.2765957446808511,1.0602836879432624,0.9574468085106383,0.7872340425531915,0.5106382978723404,0.7304964539007093,0.36879432624113473,1.0851063829787233,1.5957446808510638,1.1914893617021276,0.014184397163120567,-0.04964539007092199,-0.1347517730496454,0.028368794326241134
F0+conf+spatial,LR,train_only,41,716,141,0.7499999999999999,0.2907801418439716,1.0620567375886525,0.9645390070921985,0.7943262411347518,0.5177304964539007,0.723404255319149,0.40425531914893614,1.0141843971631206,1.6524822695035462,1.177304964539007,-0.0070921985815602835,-0.12056737588652482,-0.20567375886524822,0.11347517730496454
F0+conf+spatial,SVM,train_only,41,716,141,0.75,0.2695035460992908,1.0372340425531914,0.9716312056737588,0.7872340425531915,0.5319148936170213,0.7092198581560284,0.3617021276595745,1.0,1.574468085106383,1.2127659574468086,-0.03546099290780142,-0.5035460992907801,-0.3404255319148936,-0.3475177304964539
F0+conf+spatial,RF,train_only,41,716,141,0.74822695035461,0.2765957446808511,1.0372340425531914,0.9645390070921985,0.7730496453900709,0.5460992907801419,0.7092198581560284,0.3829787234042553,1.0,1.524822695035461,1.2411347517730495,-0.0425531914893617,-0.10638297872340426,-0.1773049645390071,0.06382978723404255
F0+conf+spatial,Ridge,train_only,41,716,141,0.7624113475177305,0.2907801418439716,1.0585106382978724,0.9716312056737588,0.8156028368794326,0.524822695035461,0.7375886524822695,0.375886524822695,1.049645390070922,1.5957446808510638,1.2127659574468086,0.0070921985815602835,-0.07092198581560284,-0.14893617021276595,-0.02127659574468085
F0+conf+spatial,ElasticNet,train_only,41,716,141,0.7624113475177305,0.2978723404255319,1.0602836879432624,0.9716312056737588,0.8085106382978723,0.524822695035461,0.7446808510638298,0.375886524822695,1.070921985815603,1.5886524822695036,1.2056737588652482,0.0070921985815602835,-0.03546099290780142,-0.15602836879432624,0.014184397163120567
